CodCoti;Callcenter;Observacion_Evento
6775;29607;Cierre Masivo autorizado por GGE previa Verificacion de Venta en Sistema, 24/06/2158
6772;30010;Cierre Masivo autorizado por GGE previa Verificacion de Venta en Sistema, 24/06/2159
6768;30044;Cierre Masivo autorizado por GGE previa Verificacion de Venta en Sistema, 24/06/2160
6756;29998;Cierre Masivo autorizado por GGE previa Verificacion de Venta en Sistema, 24/06/2161
6746;29430;Cierre Masivo autorizado por GGE previa Verificacion de Venta en Sistema, 24/06/2162
6744;29996;Cierre Masivo autorizado por GGE previa Verificacion de Venta en Sistema, 24/06/2163
6733;29616;Cierre Masivo autorizado por GGE previa Verificacion de Venta en Sistema, 24/06/2164
6728;29618;Cierre Masivo autorizado por GGE previa Verificacion de Venta en Sistema, 24/06/2165
6727;29619;Cierre Masivo autorizado por GGE previa Verificacion de Venta en Sistema, 24/06/2166
6726;29620;Cierre Masivo autorizado por GGE previa Verificacion de Venta en Sistema, 24/06/2167
6717;29621;Cierre Masivo autorizado por GGE previa Verificacion de Venta en Sistema, 24/06/2168
6715;29409;Cierre Masivo autorizado por GGE previa Verificacion de Venta en Sistema, 24/06/2169
6713;29328;Cierre Masivo autorizado por GGE previa Verificacion de Venta en Sistema, 24/06/2170
6712;29399;Cierre Masivo autorizado por GGE previa Verificacion de Venta en Sistema, 24/06/2171
6710;29413;Cierre Masivo autorizado por GGE previa Verificacion de Venta en Sistema, 24/06/2172
6704;29408;Cierre Masivo autorizado por GGE previa Verificacion de Venta en Sistema, 24/06/2173
6701;29456;Cierre Masivo autorizado por GGE previa Verificacion de Venta en Sistema, 24/06/2174
6700;29455;Cierre Masivo autorizado por GGE previa Verificacion de Venta en Sistema, 24/06/2175
6698;29864;Cierre Masivo autorizado por GGE previa Verificacion de Venta en Sistema, 24/06/2176
6693;29884;Cierre Masivo autorizado por GGE previa Verificacion de Venta en Sistema, 24/06/2177
6691;29889;Cierre Masivo autorizado por GGE previa Verificacion de Venta en Sistema, 24/06/2178
6690;29890;Cierre Masivo autorizado por GGE previa Verificacion de Venta en Sistema, 24/06/2179
6688;29926;Cierre Masivo autorizado por GGE previa Verificacion de Venta en Sistema, 24/06/2180
6687;29935;Cierre Masivo autorizado por GGE previa Verificacion de Venta en Sistema, 24/06/2181
6678;29376;Cierre Masivo autorizado por GGE previa Verificacion de Venta en Sistema, 24/06/2182
6677;29375;Cierre Masivo autorizado por GGE previa Verificacion de Venta en Sistema, 24/06/2183
6676;29374;Cierre Masivo autorizado por GGE previa Verificacion de Venta en Sistema, 24/06/2184
6675;29372;Cierre Masivo autorizado por GGE previa Verificacion de Venta en Sistema, 24/06/2185
6673;29930;Cierre Masivo autorizado por GGE previa Verificacion de Venta en Sistema, 24/06/2186
6665;29883;Cierre Masivo autorizado por GGE previa Verificacion de Venta en Sistema, 24/06/2187
6651;29467;Cierre Masivo autorizado por GGE previa Verificacion de Venta en Sistema, 24/06/2188
6650;29472;Cierre Masivo autorizado por GGE previa Verificacion de Venta en Sistema, 24/06/2189
6649;29504;Cierre Masivo autorizado por GGE previa Verificacion de Venta en Sistema, 24/06/2190
6648;29501;Cierre Masivo autorizado por GGE previa Verificacion de Venta en Sistema, 24/06/2191
6643;29686;Cierre Masivo autorizado por GGE previa Verificacion de Venta en Sistema, 24/06/2192
6642;29684;Cierre Masivo autorizado por GGE previa Verificacion de Venta en Sistema, 24/06/2193
6641;29652;Cierre Masivo autorizado por GGE previa Verificacion de Venta en Sistema, 24/06/2194
6640;29694;Cierre Masivo autorizado por GGE previa Verificacion de Venta en Sistema, 24/06/2195
6639;29695;Cierre Masivo autorizado por GGE previa Verificacion de Venta en Sistema, 24/06/2196
6638;29706;Cierre Masivo autorizado por GGE previa Verificacion de Venta en Sistema, 24/06/2197
6637;29702;Cierre Masivo autorizado por GGE previa Verificacion de Venta en Sistema, 24/06/2198
6636;29709;Cierre Masivo autorizado por GGE previa Verificacion de Venta en Sistema, 24/06/2199
6635;29701;Cierre Masivo autorizado por GGE previa Verificacion de Venta en Sistema, 24/06/2200
6634;29814;Cierre Masivo autorizado por GGE previa Verificacion de Venta en Sistema, 24/06/2201
