codigo;Chasis;CLICODIGO_SIMEC;monedaprevision_simec
540;95089;1ML00563;2
234;3973;1ML00564;2
552;DHT-120159T-1;1ML00565;2
553;DHT-120159T-2;1ML00566;2
554;DHT-120159T-3;1ML00567;2
555;DHT-120159T-4;1ML00568;2
151;23126;1ML00569;2
152;23127;1ML00570;2
998;54727;1ML00695;2
351;65857;1ML00571;2
1192;65837;1ML00788;2
96;1878;1ML00572;2
133;2105;1ML00642;2
134;2106;1ML00643;2
739;38826;1ML00574;2
750;38825;1ML00573;2
647;31618;1ML00538;2
734;34526;1ML00759;2
804;43279;1ML00420;2
805;43278;1ML00419;2
1514;86474;1ML00901;2
482;89644;1ML00611;2
580;26680;1ML00612;2
740;38575;1ML00613;2
421;7939;1ML00614;2
747;39728;1ML00615;2
362;69136;1ML00616;2
363;69137;1ML00617;2
509;92687;1ML00618;2
869;47102;1ML00750;2
107;1911;1ML00619;2
1033;57138;1ML00620;2
690;36216;1ML00621;2
891;48432;1ML00629;2
515;93578;1ML00630;2
422;7940;1ML00631;2
21;12676;1ML00288;2
1009;55216;1ML00720;2
977;49194;1ML00633;2
997;54494;1ML00634;2
229;35658;1ML00635;2
467;86311;1ML00636;2
468;86312;1ML00637;2
1274;62866;1ML00785;2
1185;57133;1ML00721;2
313;54960;1ML00638;2
314;54983;1ML00639;2
1000;54842;1ML00787;2
589;27323;1ML00640;2
909;49195;1ML00641;2
465;85797;1ML00645;2
1038;57289;1ML00726;2
1064;58587;1ML00646;2
193;24226;1ML00647;2
371;720;1ML00648;2
372;721;1ML00649;2
377;722;1ML00650;2
378;723;1ML00651;2
7;1026;1ML00652;2
446;8017;1ML00653;2
973;52880;1ML00714;2
97;18801;1ML00654;2
50;1438;1ML00656;2
51;1439;1ML00657;2
74;16110;1ML00658;2
75;16111;1ML00659;2
386;74347;1ML00660;2
155;23130;1ML00676;2
643;27782;1ML00661;2
1158;64245;1ML00727;2
666;33531;1ML00777;2
667;33530;1ML00776;2
227;35543;1ML00662;2
228;35544;1ML00663;2
836;45447;1ML00664;2
392;75187;1ML00665;2
393;75188;1ML00666;2
537;95077;1ML00667;2
538;95078;1ML00668;2
1115;EH – 28263;1ML00669;1
806;43277;1ML00216;2
525;94541;1ML00671;2
447;80425;1ML00672;2
305;5258;1ML00673;2
126;20268;1ML00674;2
795;42860;1ML00675;2
