CodCoti;Callcenter;Observacion_Evento
5895;28254;Cierre
5894;28264;Cierre
5893;28229;Cierre
5892;28230;Cierre
5891;28231;Cierre
5890;28232;Cierre
5889;28233;Cierre
5888;28258;Cierre
5887;28275;Cierre
5886;28312;Cierre
5885;28313;Cierre
5882;28294;Cierre
5877;28292;Cierre
5869;28247;Cierre
5868;28250;Cierre
5867;28249;Cierre
5866;28240;Cierre
5864;28215;Cierre
5863;28210;Cierre
5861;28206;Cierre
5860;28158;Cierre
5859;28155;Cierre
5858;27949;Cierre
5857;28133;Cierre
5856;28137;Cierre
5855;28091;Cierre
5854;28093;Cierre
5852;28099;Cierre
5851;28095;Cierre
5850;28117;Cierre
5849;28100;Cierre
5833;28214;Cierre
5817;28127;Cierre
5813;28112;Cierre
5811;28057;Cierre
5810;28002;Cierre
5808;28004;Cierre
5805;27945;Cierre
5804;27754;Cierre
5803;27920;Cierre
5802;28087;Cierre
5800;28083;Cierre
5799;28068;Cierre
5789;27988;Cierre
5787;27958;Cierre
5776;27541;Cierre
5773;27592;Cierre
5772;27621;Cierre
5771;27622;Cierre
5769;27720;Cierre
5768;27733;Cierre
5767;27743;Cierre
5766;27752;Cierre
5765;27772;Cierre
5764;27778;Cierre
5763;27732;Cierre
5762;27731;Cierre
5761;27785;Cierre
5760;27790;Cierre
5758;27801;Cierre
5757;27802;Cierre
5755;27820;Cierre
5754;27851;Cierre
5753;27825;Cierre
5752;27824;Cierre
5751;27917;Cierre
5750;27918;Cierre
5749;27919;Cierre
5748;27786;Cierre
5744;27909;Cierre
5742;27798;Cierre
5741;27797;Cierre
5740;27796;Cierre
5739;27794;Cierre
5737;27886;Cierre
5735;27899;Cierre
5733;27900;Cierre
5732;27706;Cierre
5730;27882;Cierre
5723;27879;Cierre
5713;27815;Cierre
5699;27730;Cierre
5696;27535;Cierre
5695;27525;Cierre
5692;27527;Cierre
5690;27486;Cierre
5689;27482;Cierre
5688;27481;Cierre
5686;27479;Cierre
5685;27477;Cierre
5684;27475;Cierre
5683;27474;Cierre
5682;27773;Cierre
5681;27774;Cierre
5678;27751;Cierre
5677;27718;Cierre
5676;27721;Cierre
5675;27712;Cierre
5674;27775;Cierre
5669;27769;Cierre
5666;27470;Cierre
5665;27469;Cierre
5664;27468;Cierre
5663;27440;Cierre
5662;27439;Cierre
5661;27432;Cierre
5660;27380;Cierre
5659;27376;Cierre
5658;27372;Cierre
5657;27371;Cierre
5656;27367;Cierre
5655;27369;Cierre
5654;27355;Cierre
5653;27354;Cierre
5651;27352;Cierre
5650;27351;Cierre
5649;27350;Cierre
5648;27349;Cierre
5647;27348;Cierre
5646;27347;Cierre
5645;27346;Cierre
5642;27342;Cierre
5640;27340;Cierre
5639;27339;Cierre
5635;27703;Cierre
5628;27495;Cierre
5627;27492;Cierre
5622;27630;Cierre
5621;27631;Cierre
5620;27632;Cierre
5619;27655;Cierre
5618;27684;Cierre
5617;27679;Cierre
5616;27683;Cierre
5615;27682;Cierre
5614;27680;Cierre
5613;27692;Cierre
5612;27693;Cierre
5611;27501;Cierre
5598;27336;Cierre
5596;27634;Cierre
5595;27635;Cierre
5594;27636;Cierre
5593;27637;Cierre
5592;27638;Cierre
5591;27639;Cierre
5589;27644;Cierre
5588;27670;Cierre
5587;27645;Cierre
5585;27647;Cierre
5584;27671;Cierre
5581;27648;Cierre
5579;27669;Cierre
