codigo;Chasis;monedaprevision_simec;NUEVO CODIGO SIMEC;NOMBRE EN SIMEC
1060;45443;2;2MC00252;COOP_LOYOLA_AGE_CENTRAL_45443
1052;45405;2;2MC00253;COOP_LOYOLA_AGE_SAN_MARTIN_45405
1126;50794;2;2MO00027;COPACABANA_50794
1494;XBO67899;2;2MC01238;COPACABANA_67899
1072;45588;2;2MC00256;CORSINO_GARCIA_45588
1785;MM0001;2;2MC01304;COSTA_AZUL_MM0001
108;1910;2;2MC00257;COSTA_BELLA_1910
609;82464;2;2MC00258;COSTA_BRAVA_82464
185;24823;2;2MC00276;DUBAI_AYACUCHO_24823
213;3057;2;2MC00259;COSTA_ESMERALDA_01614
674;88396;2;2MC00260;COSTA_ESTE_88396
73;16085;2;2MC00261;CUSSI_16085
330;45082;2;2MC00262;DALIA_45082
282;3678;2;2MC00263;DANAS_03678
258;35449;2;2MC00264;DANIELA_Y_HERMANOS_35449
327;43914;2;2MC00265;DANYMAR_43914
994;42026;2;2MC00266;DAROS_42026
1472;51755;2;2MC01309;DASOGA_51755
243;35094;2;2MC00267;DATACOM_35094
323;43466;2;2MC00268;DAVID_&_ZACK_43466
639;8502;2;2MC00269;DE_LA_VIA_8502
441;63461;2;2MC00270;DELGADILLO_63461
986;41561;2;2MC00271;DOLPHIN_A_41561
987;41562;2;2MC00272;DOLPHIN_B_41562
446;63703;2;2MC00055;APART_HOTEL_DE_LA_TORRE_63703
158;2249;2;2MC00273;DOMENICO_2249
756;94947;2;2MC00274;DON_MELCHOR_94947
757;94948;2;2MC00275;DON_MELCHOR_94948
1385;60984;2;2MC01095;DORAUS_60984
1632;79826;2;2MC01314;DREAM_79826
811;28193;2;2MC00277;DUBAI_STA_CRUZ_28193
1506;70877;2;2MC01315;DUPONT_70877
1404;63180;2;2MC01114;DURAN_63180
720;91607;2;2MC01163;DYNAMICA_91607
1214;54489;2;2MC00278;EBENEZER_54489
746;94397;2;2MC00279;EBENEZER_94397
130;20339;2;2MC00280;ECO_I_20339
1317;58551;2;2MC01120;VILLA_OLIMPICA_II_B_TITANIUM_58551
1318;58550;2;2MC01051;VILLA_OLIMPICA_B_TITANIUM_58550
260;35648;2;2MC00281;EDAN_35648
12;110171;2;2MC00282;EDEN_A_BLT_110171
13;110172;2;2MC00283;EDEN_B_BTL_110172
14;110173;2;2MC00284;EDEN_C_BTL_110173
1169;52123;2;2MC00285;EDIF_ALCOCER_52123
854;32382;2;2MC00184;CLIN_DEL_ACCIDT_32382
976;41512;2;2MC00287;EDIF_JUD_VILLA_TUNARI_41512
896;35552;2;2MC00286;EDIF_JUD_VILLA_TUNARI_35552
410;58479;2;2MC00288;EDUMAR_58479
389;56306;2;2MC00289;EL_BET_EL_A_56306
390;56307;2;2MC00290;EL_BET_EL_B_56307
840;31578;2;2MC00291;EL_BUEN_VIVIR_I_31578
841;31613;2;2MC00292;EL_BUEN_VIVIR_II_31613
1168;52122;2;2MC01172;EL_BUEN_VIVIR_III_52122
296;40558;2;2MC00293;EL_CARMEN_40558
574;79233;2;2MC00294;EL_CEIBO_79233
434;62903;2;2MC00295;EL_CIPRES_62903
435;62904;2;2MC00296;EL_CIPRES_62904
1607;77798;2;2MC01312;EL_CRISTO_77798
429;62172;2;2MC00297;EL_DORAL_62172
430;62173;2;2MC00298;EL_DORAL_62173
428;62171;2;2MC00299;EL_DORAL_II_62171
978;41510;2;2MC00300;EL_GABAN_41510
468;67013;2;2MC00301;EL_INTI_67013
460;66124;2;2MC00303;EL_LIBERTADOR_I_66124
544;76407;2;2MC00302;EL_LIBERTADOR_FASE_II_76407
606;82402;2;2MC00304;EL_MOLLE_82402
972;41152;2;2MC00305;EL_OLAM_41152
973;41153;2;2MC00306;EL_OLAM_41153
1307;58531;2;2MC01096;EL_PARQUE_58531
109;1913;2;2MC00307;EL_PORTAL_A_1913
110;1914;2;2MC00308;EL_PORTAL_B_1914
831;30372;2;2MC00309;EL_PRADO_BUSINES_30372
324;43653;2;2MC00310;EL_PRINCIPITO_43653
732;93580;2;2MC00311;EL_REMANSO_A_93580
733;93581;2;2MC00312;EL_REMANSO_B_93581
734;93582;2;2MC00313;EL_REMANSO_C_93582
66;15446;2;2MC00314;EL_ROBLE_15446
659;87243;2;2MC00315;EL_ROSAL_87243
1271;57295;2;2MC01097;EL_ROSAL_57295
